[449, 895, 1577, 2238, 3535, 5929, 5797, 3327, 10201, 2312],
[447, 894, 1577, 2234, 3523, 5913, 5777, 3304, 10201, 2301],
[457, 909, 1596, 2257, 3560, 5965, 5839, 3371, 10201, 2357],
[454, 903, 1591, 2248, 3552, 5954, 5822, 3357, 10201, 2351],
[453, 902, 1588, 2245, 3548, 5951, 5818, 3352, 10201, 2351],
[453, 903, 1590, 2248, 3551, 5954, 5826, 3357, 10201, 2354],
[454, 903, 1589, 2246, 3553, 5955, 5823, 3356, 10201, 2353],
[453, 902, 1589, 2247, 3548, 5950, 5821, 3357, 10201, 2351],
[453, 902, 1588, 2246, 3550, 5950, 5820, 3356, 10201, 2353],
[453, 902, 1589, 2247, 3549, 5952, 5822, 3356, 10201, 2352],
[453, 902, 1589, 2247, 3548, 5947, 5817, 3354, 10201, 2352],
[453, 903, 1590, 2248, 3550, 5952, 5824, 3357, 10201, 2352],
[455, 905, 1592, 2251, 3557, 5962, 5829, 3364, 10201, 2353],
[465, 918, 1595, 2276, 3588, 5991, 5876, 3396, 10201, 2366],
[471, 927, 1609, 2289, 3584, 5992, 5872, 3400, 10201, 2381],
[473, 932, 1612, 2296, 3611, 6020, 5911, 3429, 10201, 2387],
[484, 945, 1620, 2325, 3640, 6061, 5964, 3458, 10201, 2421],
[509, 963, 1639, 2387, 3678, 6154, 6069, 3513, 10201, 2494],
[509, 963, 1639, 2387, 3674, 6145, 6060, 3505, 10201, 2482],
[510, 964, 1640, 2392, 3674, 6149, 6064, 3505, 10201, 2483],
[507, 962, 1638, 2384, 3670, 6136, 6056, 3500, 10201, 2475],
[504, 960, 1633, 2374, 3666, 6128, 6039, 3494, 10201, 2462],
[501, 958, 1632, 2367, 3661, 6114, 6025, 3487, 10201, 2455],
[496, 956, 1628, 2361, 3658, 6099, 6012, 3476, 10201, 2444],
[493, 953, 1626, 2356, 3655, 6094, 6002, 3473, 10201, 2438],
[494, 954, 1626, 2358, 3655, 6093, 6007, 3476, 10201, 2439],
[493, 954, 1626, 2358, 3659, 6095, 6008, 3477, 10201, 2441],
[494, 954, 1626, 2359, 3656, 6097, 6008, 3476, 10201, 2441],
[493, 954, 1626, 2357, 3656, 6098, 6005, 3474, 10201, 2442],
[492, 953, 1625, 2351, 3651, 6085, 5992, 3470, 10201, 2434],
[487, 948, 1622, 2336, 3642, 6067, 5971, 3462, 10201, 2425],
[488, 949, 1624, 2341, 3645, 6072, 5978, 3464, 10201, 2430],
[488, 949, 1623, 2340, 3641, 6064, 5973, 3463, 10201, 2426],
[488, 949, 1622, 2340, 3645, 6072, 5982, 3467, 10201, 2429],
[488, 949, 1623, 2341, 3646, 6073, 5977, 3467, 10201, 2429],
[489, 948, 1622, 2339, 3644, 6070, 5975, 3464, 10201, 2429],
[488, 949, 1623, 2340, 3647, 6073, 5980, 3466, 10201, 2428],
[488, 948, 1623, 2338, 3646, 6070, 5975, 3464, 10201, 2428],
[488, 949, 1621, 2339, 3643, 6069, 5977, 3466, 10201, 2429],
[488, 949, 1623, 2341, 3646, 6070, 5977, 3465, 10201, 2429],
[489, 949, 1623, 2340, 3646, 6073, 5977, 3465, 10201, 2430],
[488, 948, 1622, 2336, 3644, 6067, 5970, 3460, 10201, 2422],
[493, 953, 1624, 2355, 3651, 6088, 5998, 3467, 10201, 2427],
[507, 959, 1631, 2387, 3669, 6141, 6061, 3494, 10201, 2458],
[523, 975, 1652, 2423, 3693, 6198, 6122, 3544, 10201, 2527],
[535, 990, 1671, 2449, 3722, 6248, 6181, 3594, 10201, 2605],
[538, 993, 1676, 2456, 3736, 6264, 6195, 3611, 10201, 2635],
[540, 995, 1678, 2459, 3737, 6271, 6205, 3618, 10201, 2652],
[540, 995, 1680, 2459, 3739, 6274, 6206, 3619, 10201, 2652],
[539, 994, 1677, 2459, 3737, 6266, 6198, 3616, 10201, 2648],
[540, 995, 1678, 2459, 3736, 6274, 6204, 3617, 10201, 2647],
[540, 995, 1680, 2459, 3739, 6269, 6200, 3615, 10201, 2644],
[539, 994, 1678, 2458, 3735, 6273, 6203, 3616, 10201, 2643],
[539, 994, 1678, 2458, 3737, 6269, 6199, 3616, 10201, 2644],
[539, 995, 1677, 2457, 3737, 6270, 6201, 3615, 10201, 2640],
[539, 993, 1677, 2456, 3735, 6262, 6194, 3610, 10201, 2632],
[538, 994, 1676, 2456, 3734, 6264, 6194, 3608, 10201, 2631],
